;reasons_translation_sentimentCategory;reasons_translation_sadnessCategory;reasons_translation_joyCategory;reasons_translation_fearCategory;reasons_translation_disgustCategory;reasons_translation_angerCategory;emotions_translation_sentimentCategory;emotions_translation_sadnessCategory;emotions_translation_joyCategory;emotions_translation_fearCategory;emotions_translation_disgustCategory;emotions_translation_angerCategory;strengths_translation_sentimentCategory;strengths_translation_sadnessCategory;strengths_translation_joyCategory;strengths_translation_fearCategory;strengths_translation_disgustCategory;strengths_translation_angerCategory;utilization_translation_sentimentCategory;utilization_translation_sadnessCategory;utilization_translation_joyCategory;utilization_translation_fearCategory;utilization_translation_disgustCategory;utilization_translation_angerCategory;story_translation_sentimentCategory;story_translation_sadnessCategory;story_translation_joyCategory;story_translation_fearCategory;story_translation_disgustCategory;story_translation_angerCategory
121;0,2103;0,0191;0,1733;0,2103;0,0722;0,1414;0,3008;0,0565;0,0912;0,0141;0,0141;0,0335;0,0054;0,8703;0,0438;0,2528;0,2528;0,414;0,5492;0,0013;0,0565;0,1414;0,0335;0,0009;0,6241;0,0;0,0191;0,0;0,0;0,0
122;1,0;0,0287;0,6622;0,5122;0,6622;0,3821;0,3255;0,0216;0,2746;0,0216;0,0086;0,0031;0,4444;0,913;0,126;0,6622;0,5122;0,5122;0,913;0,1011;0,3821;0,4444;0,3821;0,0378;1,0;0,0;0,126;0,0;0,0;0,0
123;0,1362;0,0056;0,0703;0,3383;0,2016;0,0885;0,8315;0,2873;0,0885;0,0143;0,2016;0,0028;0,5233;0,3383;0,5948;0,6705;0,3383;0,7496;0,1104;0,1665;0,0332;0,9153;0,9153;0,2016;0,8315;0,0001;0,0056;0,002;0,0;0,0001
124;0,7281;0,0819;0,2531;0,5848;0,2531;0,5848;0,7281;0,9604;0,8815;0,8815;0,9604;0,5848;0,8815;0,8039;0,2968;0,2968;0,2531;0,7281;0,101;0,1234;0,2968;0,1234;0,4562;0,0415;0,3452;0,0112;0,4562;0,0194;0,1234;0,0012
125;0,5343;0,0498;0,3637;0,232;0,4734;0,3154;0,1145;0,0245;0,0313;0,0025;0,0397;0,1145;0,886;0,5343;0,8111;0,599;0,5343;0,4164;0,5343;0,0768;0,0146;0,9619;0,0146;0,1382;0,4734;0,0768;0,232;0,0941;0,0;0,0245
126;0,408;0,1475;0,0978;0,1207;0,1207;0,9176;0,1787;0,0785;0,408;0,0785;0,0172;0,1787;0,7564;0,408;0,6051;0,4691;0,4691;0,408;0,7564;0,3519;0,408;0,0785;0,4691;0,0297;0,0625;0,7564;0,0492;0,5349;0,0037;0,1475
127;0,6527;0,1768;0,9601;0,2936;0,6527;0,2111;0,25;0,6527;0,5156;0,2936;0,5156;0,342;0,1468;0,1468;0,0641;0,2936;0,0987;0,0987;0,8026;0,1468;0,3952;0,0641;0,25;0,1768;0,6527;0,0402;0,9601;0,0043;0,0;0,0005
128;0,3437;0,0999;0,2517;0,1222;0,8033;0,032;0,4548;0,065;0,0409;0,0017;0,1222;0,0999;0,4548;0,8033;0,4548;0,2953;0,5171;0,8812;0,7273;0,5836;0,2953;0,8033;0,9603;0,8812;0,8812;0,065;0,8812;0,0145;0,0248;0,0409
129;0,6484;0,0171;0,8792;0,5101;0,2052;0,5101;0,1712;0,076;0,4473;0,7229;0,2438;0,0292;0,1416;0,9596;0,2438;0,4473;0,389;0,4473;0,4473;0,6484;0,389;0,1712;0,4473;0,0292;0,2873;0,3357;0,0607;0,1416;0,0;0,0052
130;0,7285;0,124;0,7285;0,3991;0,3991;0,346;0,9604;0,5854;0,8042;0,1804;0,5854;0,6554;0,2539;0,2539;0,0824;0,2149;0,3991;0,124;0,5191;0,124;0,3991;0,8817;0,346;0,0824;0,8817;0,0024;0,8042;0,0;0,0012;0,0063
131;0,3811;0,0153;0,6429;0,503;0,4396;0,1641;0,1976;0,1641;0,8772;0,0564;0,7967;0,2792;0,8772;0,6429;0,0153;0,3276;0,7184;0,6429;0,1976;0,2359;0,2792;0,5709;0,0889;0,0443;0,7967;0,0001;0,9589;0,0;0,0011;0,0005
